id,Partner_ID,compny_name
1,AIT0051,AITAKA TECHNOLOGIES
2,KUD-DND-44785,AJAYA SOLUTIONS PRIVAT LIMITED
3,KUD-CAY-92877,AJAYA SOLUTIONS PRIVAT LIMITED
4,KUD-DNE-13954,AJAYA SOLUTIONS PRIVAT LIMITED
5,KUD-FRT-29926,AJAYA SOLUTIONS PRIVAT LIMITED
6,KUD-BTH-78111,BETTEC TECHNOLOGIES PRIVATE LIMITED
7,KUD-BEA-12341,Bienance technology
8,KUD-OCH-55432,BornBrave Technologies Private Limited (Ocash)
9,BRI0050,BRIDING TECHNOLOGIES 
10,KUD-COD-60397,CLOUD ATLAS FUTURE TECHNOLOGY PRIVATE LIMITED
11,KUD-DGT-12772,Digital life information technology pvt ltd.(2)
12,KUD-DGT-27253,Digital Life Information Technology Private Limited
13,GET0042,Getcyber Technologies
14,HER0060,Hershun
15,INP0046,Inpayway
16,KUD-MCO-22395,MICROCARD 
17,KUD-ISA-70914,Insta Loan
18,MOB0048,MOBIPURSE INFOTECH
19,KUD-NWI-29186,Newmine
20,PAN0043,Panyun
21,KUD-TNB-33123,TANGBULL
22,RAP0036,Rapidcash
23,REA0062,Real Fortune
24,KUD-SHS-83321,Sarvayoni Adyah Property Services Private Limited
25,ROT0074,Rotterpay
26,SUX0023,Suxiang
27,KUD-TED-68870,TAELDE TECHNOLOGY PRIVATE LIMITED
28,YAR0044,Yarlung
29,KUD-YED-31294,Yue Dindian
30,KUD-FRT-53731,BillionCash (Anniu)
31,KUD-DOI-20389,Doowin Information Private Limited
32,KUD-FSA-25391,Fastapp
33,KUD-FNO-18232,Finmotive
34,KUD-TUH-21256,FLASH RUPEE
35,KUD-GRP-15928,GoRupee Infintech Services Pvt. Ltd.
36,KUD-TUH-18601,HOT RUPEE
37,KUD-FLA-37894,JCFLASH TECHNOLOGIES PVT LTD
38,KUD-MND-77642,Moneed Technical Service Private Limited
39,KUD-SOI-15018,Sooing
40,KUD-TUH-23115,SPEED RUPEE
41,KUD-TUH-72444,Truthigh Fintech Private Limited 
42,KUD-TUH-13824,Truthigh Fintech Private Limited 
43,KUD-WSE-20426,WESTERN BANYAN TECH PRIVATE LIMITED
44,TOO0069,Toopa technology
45,BUS0067,Busybee 
46,TUEF0089,Credx
